"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"111 Legislators and senior government officials","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"111 Legislators and senior government officials","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","18-24 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","25-29 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","25-29 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","30-34 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","30-34 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","35-39 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","35-39 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","40-44 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","40-44 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","45-49 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","45-49 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","50-54 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","50-54 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","55-59 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","55-59 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","60-64 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"112 Senior officials of special-interest organisations","60-64 years","women",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"121 Directors and chief executives","18-24 years","men",..,..,..,..,..,..,..,..,..,..,..,..,..,..
