"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","0 all sectors","231 College, university and higher education teaching professionals","men",30400,30400,31800,33100,33200,34300,36000,36900,38100,38700,39900
"SE11 Stockholm","0 all sectors","231 College, university and higher education teaching professionals","women",25200,25500,26400,27800,27900,29100,30600,31500,32400,33500,34500
"SE11 Stockholm","0 all sectors","232 Secondary education teaching professionals","men",24100,24900,25200,25600,26500,27100,27700,28400,29100,29300,30700
"SE11 Stockholm","0 all sectors","232 Secondary education teaching professionals","women",24000,24700,24900,25900,26100,26700,27800,28200,28700,28900,30200
"SE11 Stockholm","0 all sectors","233 Primary education teaching professionals","men",22800,23500,24100,24500,25300,26100,26500,27400,27700,27800,29300
"SE11 Stockholm","0 all sectors","233 Primary education teaching professionals","women",23300,23900,24300,24900,25400,26400,27000,27800,28100,28200,29800
"SE11 Stockholm","0 all sectors","234 Special education teaching professionals","men",24600,24100,24900,25800,25100,22600,27800,28300,29300,27000,31000
"SE11 Stockholm","0 all sectors","234 Special education teaching professionals","women",24900,25500,26200,26700,27100,27500,27900,29300,30700,29900,32200
"SE11 Stockholm","0 all sectors","235 Other teaching professionals","men",28500,28300,28600,29100,29700,29100,29000,30500,29500,30100,30600
"SE11 Stockholm","0 all sectors","235 Other teaching professionals","women",22100,25600,27300,26300,27700,28500,28900,29400,29400,30500,31600
"SE11 Stockholm","0 all sectors","241 Business professionals","men",42400,42200,45200,45700,47100,49000,50200,50800,51400,51700,50900
"SE11 Stockholm","0 all sectors","241 Business professionals","women",32700,32400,33700,35500,37200,37400,38400,39800,40100,40800,42300
"SE11 Stockholm","0 all sectors","242 Legal professionals","men",42500,46900,38900,44800,47000,48500,50000,51800,52600,55000,55700
"SE11 Stockholm","0 all sectors","242 Legal professionals","women",33000,34400,35200,37500,37000,38700,41900,41400,42300,46600,46700
"SE11 Stockholm","0 all sectors","243 Archivists, librarians and related information professionals","men",24800,25500,25900,26300,27100,28000,28900,29500,30200,31000,31400
"SE11 Stockholm","0 all sectors","243 Archivists, librarians and related information professionals","women",23000,23600,24500,25000,25600,26600,27400,28100,28500,29300,30300
"SE11 Stockholm","0 all sectors","244 Social science and linguistics professionals (except social work professionals)","men",31800,33700,34700,37900,38700,37000,36800,39500,39200,39300,43700
"SE11 Stockholm","0 all sectors","244 Social science and linguistics professionals (except social work professionals)","women",29600,28600,30600,33200,31400,31400,32500,35100,33600,35900,37300
"SE11 Stockholm","0 all sectors","245 Writers and creative or performing artists","men",32500,35200,34800,35100,34500,34200,35600,36200,36100,36800,37900
"SE11 Stockholm","0 all sectors","245 Writers and creative or performing artists","women",29000,31000,31300,30700,30200,32400,33500,34300,35300,35900,36700
"SE11 Stockholm","0 all sectors","246 Religious professionals","men",26800,28600,30600,31600,30400,31300,34100,34800,35200,..,..
"SE11 Stockholm","0 all sectors","246 Religious professionals","women",25200,26300,27800,28700,30000,31200,32400,32300,33700,35600,36400
"SE11 Stockholm","0 all sectors","247 Public service administrative professionals","men",31400,32500,33000,33600,34400,36500,37800,38900,39500,40400,41300
"SE11 Stockholm","0 all sectors","247 Public service administrative professionals","women",27800,28600,29300,29800,30900,32700,34200,35200,36000,36800,37900
"SE11 Stockholm","0 all sectors","248 Administrative professionals of special-interest organisations","men",33600,34100,33900,34400,37000,37800,36900,39200,39900,39800,42100
"SE11 Stockholm","0 all sectors","248 Administrative professionals of special-interest organisations","women",29100,29800,30100,30600,31500,32200,32400,34600,36800,35400,38300
"SE11 Stockholm","0 all sectors","249 Psychologists, social work and related professionals","men",24500,25200,25800,26900,27000,27900,29800,33000,31700,32000,32500
"SE11 Stockholm","0 all sectors","249 Psychologists, social work and related professionals","women",24100,24600,25500,26200,26900,28100,29000,29700,30500,31800,32600
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",28900,30200,31700,32400,33200,35400,35700,36300,38100,37600,37900
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",26000,26600,27800,29100,29800,31500,32100,33000,33000,33900,34400
"SE11 Stockholm","0 all sectors","312 Computer associate professionals","men",28200,29400,30300,32900,32100,33800,34200,35100,36200,36600,37800
"SE11 Stockholm","0 all sectors","312 Computer associate professionals","women",24800,26800,27400,29300,29600,31800,32300,31900,33300,33200,34200
"SE11 Stockholm","0 all sectors","313 Optical and electronic equipment operators","men",25900,27600,27600,25400,26300,27700,29000,30000,29700,29200,30800
"SE11 Stockholm","0 all sectors","313 Optical and electronic equipment operators","women",20500,19900,23700,23800,24400,25500,26100,28500,27800,28000,28800
"SE11 Stockholm","0 all sectors","314 Ship and aircraft controllers and technicians","men",47200,..,52000,49700,..,55100,58300,51000,..,51600,52400
"SE11 Stockholm","0 all sectors","314 Ship and aircraft controllers and technicians","women",..,44300,..,..,51300,59300,60900,58700,60600,65600,62800
"SE11 Stockholm","0 all sectors","315 Safety and quality inspectors","men",28500,29300,29200,31600,32000,32700,33300,32800,38700,35900,39200
"SE11 Stockholm","0 all sectors","315 Safety and quality inspectors","women",28800,28900,30700,31700,31500,30000,34700,35100,35700,35900,37800
"SE11 Stockholm","0 all sectors","321 Agronomy and forestry technicians","men",27400,26400,26200,..,..,28200,29600,30300,32100,35200,34900
"SE11 Stockholm","0 all sectors","321 Agronomy and forestry technicians","women",27700,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","322 Health associate professionals (except nursing)","men",24800,25100,27500,27700,28800,28300,27900,28900,31600,31300,32400
"SE11 Stockholm","0 all sectors","322 Health associate professionals (except nursing)","women",22700,23500,24100,24700,25100,25800,26800,27400,28200,28900,29200
"SE11 Stockholm","0 all sectors","323 Nursing associate professionals","men",29500,26100,26800,26500,27300,28200,29800,29800,31200,31900,34000
"SE11 Stockholm","0 all sectors","323 Nursing associate professionals","women",25800,25500,26200,26300,27100,28000,29500,29500,30500,31600,32800
"SE11 Stockholm","0 all sectors","324 Life science technicians","men",22800,21100,22700,23100,25100,24100,25200,26200,27400,27300,28400
"SE11 Stockholm","0 all sectors","324 Life science technicians","women",22800,21700,23200,23900,23800,24400,25700,26300,27700,27800,28300
"SE11 Stockholm","0 all sectors","331 Pre-primary education teaching associate professionals","men",20100,20600,21500,22000,23000,23500,24000,24400,25200,25700,26700
"SE11 Stockholm","0 all sectors","331 Pre-primary education teaching associate professionals","women",20800,21700,22300,22800,23700,24200,25000,25500,26100,26900,28100
"SE11 Stockholm","0 all sectors","332 Other teaching associate professionals","men",22500,24900,23700,25600,28700,28200,31100,30400,29400,27700,27800
"SE11 Stockholm","0 all sectors","332 Other teaching associate professionals","women",19400,20600,20000,26100,25800,25700,26300,28900,26700,28400,28800
"SE11 Stockholm","0 all sectors","341 Finance and sales associate professionals","men",31700,35800,38000,38800,41600,42600,43800,43700,44300,45300,46500
"SE11 Stockholm","0 all sectors","341 Finance and sales associate professionals","women",24900,26800,29100,30300,31900,32600,33700,33900,35400,36600,37200
"SE11 Stockholm","0 all sectors","342 Business services agents and trade brokers","men",27700,26300,29300,27800,27900,29800,30200,30700,31500,32400,32500
"SE11 Stockholm","0 all sectors","342 Business services agents and trade brokers","women",23700,23400,23300,25000,25200,26800,28500,29500,29700,28900,29800
"SE11 Stockholm","0 all sectors","343 Administrative associate professionals","men",30000,30400,29900,31200,30400,33700,34800,35700,36300,37900,38600
"SE11 Stockholm","0 all sectors","343 Administrative associate professionals","women",24700,25200,25900,26600,27500,28300,29400,30700,31600,31800,32800
"SE11 Stockholm","0 all sectors","344 Customs, tax and related government associate professionals","men",23600,23600,22000,24000,26000,25800,28800,30500,30400,31700,32100
"SE11 Stockholm","0 all sectors","344 Customs, tax and related government associate professionals","women",20400,20900,20300,22100,23300,23900,25800,26900,27100,28200,29000
"SE11 Stockholm","0 all sectors","345 Police officers and detectives","men",28900,29300,28400,28000,30100,30800,32100,32000,31900,33300,34000
"SE11 Stockholm","0 all sectors","345 Police officers and detectives","women",27100,27200,26600,26200,28200,28800,30300,30000,29900,31500,31900
"SE11 Stockholm","0 all sectors","346 Social work associate professionals","men",19400,20600,19900,20900,21000,21900,22700,23300,24500,23300,25100
"SE11 Stockholm","0 all sectors","346 Social work associate professionals","women",20200,21700,21500,22000,22600,23500,23700,25000,25900,26000,26500
"SE11 Stockholm","0 all sectors","347 Artistic, entertainment and sports associate professionals","men",22100,23500,23900,26700,26500,29800,30000,30700,33500,35800,34300
"SE11 Stockholm","0 all sectors","347 Artistic, entertainment and sports associate professionals","women",21900,23600,24200,25200,26300,27800,29400,29300,31600,31500,27600
"SE11 Stockholm","0 all sectors","348 Religious associate professionals","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","348 Religious associate professionals","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","411 Office secretaries and data entry operators","men",22400,21800,24700,23500,23800,26700,25700,26000,28200,28100,29300
"SE11 Stockholm","0 all sectors","411 Office secretaries and data entry operators","women",22000,22100,23000,23700,24400,25100,25300,26300,26900,27500,28600
"SE11 Stockholm","0 all sectors","412 Numerical clerks","men",21400,21900,22900,24300,23900,25800,26100,29200,29900,28400,27800
"SE11 Stockholm","0 all sectors","412 Numerical clerks","women",21300,22400,22800,24100,25600,25400,26100,26900,27800,28200,29000
"SE11 Stockholm","0 all sectors","413 Stores and transport clerks","men",20800,21300,22000,21800,23300,24000,24200,24500,25800,26800,28200
"SE11 Stockholm","0 all sectors","413 Stores and transport clerks","women",20200,20700,21500,20100,22700,23100,24100,24800,26000,26400,28000
"SE11 Stockholm","0 all sectors","414 Library and filing clerks","men",19000,19400,20700,19300,19300,21100,22600,23100,24000,23400,23600
"SE11 Stockholm","0 all sectors","414 Library and filing clerks","women",18400,18900,19600,20100,21500,22100,22400,23000,23300,23700,23800
"SE11 Stockholm","0 all sectors","415 Mail carriers and sorting clerks","men",17800,18600,19400,..,..,..,21300,21500,22500,23000,23300
"SE11 Stockholm","0 all sectors","415 Mail carriers and sorting clerks","women",17200,18200,18900,..,..,..,21100,21300,22300,22700,23200
"SE11 Stockholm","0 all sectors","419 Other office clerks","men",22100,22800,22900,24400,24900,25800,27000,28200,28200,27500,28300
"SE11 Stockholm","0 all sectors","419 Other office clerks","women",19700,20600,21400,22300,23300,24600,24900,25700,26600,26900,27100
"SE11 Stockholm","0 all sectors","421 Cashiers, tellers and related clerks","men",19000,20500,20400,21100,22400,22400,23200,23600,22200,23400,21900
"SE11 Stockholm","0 all sectors","421 Cashiers, tellers and related clerks","women",19000,20100,20400,21600,22200,22700,25200,24900,23200,24700,22200
"SE11 Stockholm","0 all sectors","422 Client information clerks","men",19700,19600,21000,21700,22500,23100,24200,23800,24000,25900,25500
"SE11 Stockholm","0 all sectors","422 Client information clerks","women",18600,19000,19800,20500,21100,21800,22300,23000,23100,24100,24300
"SE11 Stockholm","0 all sectors","511 Travel attendants and related workers","men",24000,23000,23900,24400,25000,25900,28500,26400,26200,28600,28500
"SE11 Stockholm","0 all sectors","511 Travel attendants and related workers","women",27900,25600,26100,26400,27600,28400,31000,29000,28400,30600,30100
"SE11 Stockholm","0 all sectors","512 Housekeeping and restaurant services workers","men",17600,19000,19100,20300,20600,21500,22400,23100,23300,23700,25000
"SE11 Stockholm","0 all sectors","512 Housekeeping and restaurant services workers","women",16900,18100,18800,19600,20100,21100,21300,22200,22900,22900,23500
"SE11 Stockholm","0 all sectors","513 Personal care and related workers","men",18600,19100,19400,20100,20300,21600,22200,22200,22900,23800,24200
"SE11 Stockholm","0 all sectors","513 Personal care and related workers","women",18200,18800,19300,19700,19900,21300,22000,22100,22700,23500,23800
"SE11 Stockholm","0 all sectors","514 Other personal services workers","men",19900,19100,19500,20200,19200,20600,22700,22100,22900,24700,23800
"SE11 Stockholm","0 all sectors","514 Other personal services workers","women",18900,19500,20500,20800,20400,21400,21600,21900,22100,23200,23400
"SE11 Stockholm","0 all sectors","515 Protective services workers","men",20400,20900,21500,21600,22400,23700,24100,25600,25500,26700,26900
"SE11 Stockholm","0 all sectors","515 Protective services workers","women",19200,19900,20200,20400,21200,22200,23000,23700,23600,25000,25200
"SE11 Stockholm","0 all sectors","521 Fashion and other models","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","521 Fashion and other models","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","522 Shop and stall salespersons and demonstrators","men",20200,20500,22500,23100,24000,24600,25400,26100,25800,26600,27500
"SE11 Stockholm","0 all sectors","522 Shop and stall salespersons and demonstrators","women",19200,19800,20400,21400,23000,22600,24000,24300,24700,24800,26300
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","men",19300,19000,20200,20100,20900,22800,22300,21400,23100,23000,23000
"SE11 Stockholm","0 all sectors","611 Market gardeners and crop growers","women",17100,18200,18600,19800,19300,21100,21100,20600,21900,22800,23200
"SE11 Stockholm","0 all sectors","612 Animal producers and related workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","612 Animal producers and related workers","women",..,..,..,17000,18400,20600,18600,..,19900,..,18700
"SE11 Stockholm","0 all sectors","613 Crop and animal producers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","613 Crop and animal producers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","614 Forestry and related workers","men",..,21300,20900,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","614 Forestry and related workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","615 Fishery workers, hunters and trappers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","615 Fishery workers, hunters and trappers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","711 Miners, shot firers, stonecutters and carvers","men",..,..,29000,34400,35200,37800,42800,43000,39100,32700,..
"SE11 Stockholm","0 all sectors","711 Miners, shot firers, stonecutters and carvers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","712 Building frame and related trades workers","men",23500,24200,24400,25300,26700,27000,27200,27700,29000,29500,30200
"SE11 Stockholm","0 all sectors","712 Building frame and related trades workers","women",..,..,..,..,..,21500,24000,23400,28200,26900,27600
"SE11 Stockholm","0 all sectors","713 Building finishers and related trades workers","men",21700,22400,22900,23700,24400,25400,25800,26600,26300,28000,28800
"SE11 Stockholm","0 all sectors","713 Building finishers and related trades workers","women",19400,19300,19900,20600,21200,22800,23500,23600,23800,22700,22600
"SE11 Stockholm","0 all sectors","714 Painters, building structure cleaners and related trades workers","men",22600,22700,22800,23200,24300,24900,22200,25100,24500,25900,24600
"SE11 Stockholm","0 all sectors","714 Painters, building structure cleaners and related trades workers","women",19200,..,..,..,..,20600,..,..,..,..,..
"SE11 Stockholm","0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","men",22200,23100,22700,22700,22900,23700,25700,25900,27400,26100,27600
"SE11 Stockholm","0 all sectors","721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","722 Blacksmiths, tool-makers and related trades workers","men",21400,21900,22800,22700,25300,27400,27000,27100,26900,29600,26100
"SE11 Stockholm","0 all sectors","722 Blacksmiths, tool-makers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","men",21400,22000,22700,24000,24800,24900,25900,26200,26600,28500,29000
"SE11 Stockholm","0 all sectors","723 Machinery mechanics and fitters","women",19900,..,..,..,22200,23200,24700,22600,24400,26500,23200
"SE11 Stockholm","0 all sectors","724 Electrical and electronic equipment mechanics and fitters","men",23500,23900,24000,25200,24600,26500,27400,28000,28800,30400,28900
"SE11 Stockholm","0 all sectors","724 Electrical and electronic equipment mechanics and fitters","women",19700,21100,21500,22300,22400,24100,26100,..,..,..,25400
"SE11 Stockholm","0 all sectors","731 Precision workers in metal and related materials","men",..,23700,22300,25800,24800,25800,26800,25800,27700,28200,28800
"SE11 Stockholm","0 all sectors","731 Precision workers in metal and related materials","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","732 Potters, glass-makers and related trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","732 Potters, glass-makers and related trades workers","women",19100,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","733 Handicraft workers in wood, textile, leather and related materials","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","733 Handicraft workers in wood, textile, leather and related materials","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","734 Craft printing and related trades workers","men",26200,25400,24200,23400,26500,28600,25800,27600,28100,..,27300
"SE11 Stockholm","0 all sectors","734 Craft printing and related trades workers","women",23800,24500,23300,23900,22600,25100,25300,25600,24100,..,..
"SE11 Stockholm","0 all sectors","741 Food processing and related trades workers","men",18300,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","741 Food processing and related trades workers","women",17700,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Wood treaters, cabinet-makers and related trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","742 Wood treaters, cabinet-makers and related trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","743 Garment and related trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","743 Garment and related trades workers","women",..,19500,20500,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","744 Pelt, leather and shoemaking trades workers","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","744 Pelt, leather and shoemaking trades workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","811 Mineral-processing-plant operators","men",..,..,..,..,23300,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","811 Mineral-processing-plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","812 Metal-processing-plant operators","men",23300,..,24800,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","812 Metal-processing-plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","813 Glass, ceramics and related plant operators","men",..,..,..,..,27400,29100,..,27800,..,..,..
"SE11 Stockholm","0 all sectors","813 Glass, ceramics and related plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","814 Wood-processing- and papermaking-plant operators","men",21200,23000,24900,26400,26500,33800,28900,28700,31300,31500,31300
"SE11 Stockholm","0 all sectors","814 Wood-processing- and papermaking-plant operators","women",22600,22100,24200,24900,24900,32600,26800,26300,..,..,..
"SE11 Stockholm","0 all sectors","815 Chemical-processing-plant operators","men",24000,25000,25400,26400,27500,27800,29100,28900,29700,29100,30500
"SE11 Stockholm","0 all sectors","815 Chemical-processing-plant operators","women",22000,22900,22800,24000,25000,26300,26800,26700,27200,28500,28900
"SE11 Stockholm","0 all sectors","816 Power-production and related plant operators","men",22900,24100,25800,27100,28000,27700,28200,28000,28500,29800,30600
"SE11 Stockholm","0 all sectors","816 Power-production and related plant operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","817 Industrial-robot operators","men",..,..,..,25800,27900,27900,26900,29000,29000,30200,31400
"SE11 Stockholm","0 all sectors","817 Industrial-robot operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","821 Metal- and mineral-products machine operators","men",20600,20600,22500,24100,22800,24300,24700,25300,26400,29800,30600
"SE11 Stockholm","0 all sectors","821 Metal- and mineral-products machine operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","822 Chemical-products machine operators","men",22400,23200,24200,25800,26100,27700,28300,28900,28900,29700,30700
"SE11 Stockholm","0 all sectors","822 Chemical-products machine operators","women",21500,22300,23400,24200,24800,26300,27200,27300,28000,28800,29100
"SE11 Stockholm","0 all sectors","823 Rubber- and plastic-products machine operators","men",19300,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","823 Rubber- and plastic-products machine operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","824 Wood-products machine operators","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","824 Wood-products machine operators","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","825 Printing-, binding- and paper-products machine operators","men",23200,23400,23800,26000,25500,27900,27600,28100,27700,28400,30300
"SE11 Stockholm","0 all sectors","825 Printing-, binding- and paper-products machine operators","women",..,..,..,..,..,..,22500,23800,..,25700,25400
"SE11 Stockholm","0 all sectors","826 Textile-, fur- and leather-products machine operators","men",15100,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","826 Textile-, fur- and leather-products machine operators","women",16200,..,..,..,..,19300,..,..,..,..,..
"SE11 Stockholm","0 all sectors","827 Food and related products machine operators","men",20900,22000,22400,20500,21800,23900,24200,23300,24900,26300,26700
"SE11 Stockholm","0 all sectors","827 Food and related products machine operators","women",19100,21400,21800,21500,22400,22900,23700,23500,24600,26200,25900
"SE11 Stockholm","0 all sectors","828 Assemblers","men",19200,20100,20300,22000,22900,24000,24500,26100,25700,26000,26400
"SE11 Stockholm","0 all sectors","828 Assemblers","women",17700,18700,19200,20400,20700,22300,22800,23200,23500,24400,25300
"SE11 Stockholm","0 all sectors","829 Other machine operators and assemblers","men",20900,21100,19900,21100,22000,22400,23500,24100,24800,25100,25700
"SE11 Stockholm","0 all sectors","829 Other machine operators and assemblers","women",18800,19700,20000,20200,20200,21500,21800,23200,23100,23600,24800
"SE11 Stockholm","0 all sectors","831 Locomotive-engine drivers and related worker","men",23200,26100,25500,26300,26400,28100,29600,30500,30800,31800,31600
"SE11 Stockholm","0 all sectors","831 Locomotive-engine drivers and related worker","women",22000,..,25400,25800,26000,26800,28100,29600,29500,31000,31000
"SE11 Stockholm","0 all sectors","832 Motor-vehicle drivers","men",19600,20000,20400,21700,22300,22700,24000,24600,24800,24400,26100
"SE11 Stockholm","0 all sectors","832 Motor-vehicle drivers","women",19100,19400,20000,21800,21500,22300,22800,23400,24500,24700,25700
"SE11 Stockholm","0 all sectors","833 Agricultural and other mobile-plant operators","men",21100,21100,21100,21500,22600,23600,25800,26000,..,25000,26600
"SE11 Stockholm","0 all sectors","833 Agricultural and other mobile-plant operators","women",..,..,..,..,..,..,..,..,..,24200,25300
"SE11 Stockholm","0 all sectors","834 Ships´ deck crews and related workers","men",19300,21100,21300,21500,..,..,..,26100,..,..,..
"SE11 Stockholm","0 all sectors","834 Ships´ deck crews and related workers","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","911 Street vendors and market salespersons","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","911 Street vendors and market salespersons","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","912 Helpers and cleaners","men",16500,16600,17300,18300,18800,19100,20000,20300,20300,21000,22100
"SE11 Stockholm","0 all sectors","912 Helpers and cleaners","women",16000,16300,16900,17900,18300,18900,19300,19300,19800,20300,21000
"SE11 Stockholm","0 all sectors","913 Helpers in restaurants","men",16900,16100,16400,16400,17300,19000,19600,19700,19500,20800,21200
"SE11 Stockholm","0 all sectors","913 Helpers in restaurants","women",16400,16100,16600,17000,17600,18300,18700,19500,19600,20800,20700
"SE11 Stockholm","0 all sectors","914 Doorkeepers, newspaper and package deliverers and related workers","men",17900,19400,20200,21500,19800,20700,22700,22900,23800,24800,25000
