"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","0 all sectors","011 Armed forces","men",2800,2900,2700,1900,2000,2000,2200,2100,2600,2700,3100
"SE11 Stockholm","0 all sectors","011 Armed forces","women",..,120,110,..,..,..,110,110,220,240,270
"SE11 Stockholm","0 all sectors","111 Legislators and senior government officials","men",240,230,170,140,120,230,230,230,270,270,240
"SE11 Stockholm","0 all sectors","111 Legislators and senior government officials","women",140,110,..,..,..,170,180,170,250,190,230
"SE11 Stockholm","0 all sectors","112 Senior officials of special-interest organisations","men",250,330,390,330,330,410,390,..,..,..,..
"SE11 Stockholm","0 all sectors","112 Senior officials of special-interest organisations","women",..,..,..,..,..,..,230,..,..,..,..
"SE11 Stockholm","0 all sectors","121 Directors and chief executives","men",6400,4500,4400,5300,4700,5100,4200,3900,5000,4200,3900
"SE11 Stockholm","0 all sectors","121 Directors and chief executives","women",1100,..,610,630,690,810,920,890,..,..,680
"SE11 Stockholm","0 all sectors","122 Production and operations managers","men",8400,8600,8100,7400,8800,9400,9600,9600,9100,10200,10600
"SE11 Stockholm","0 all sectors","122 Production and operations managers","women",4600,4600,4700,4500,4900,7300,7700,8100,7800,8200,8900
"SE11 Stockholm","0 all sectors","123 Other specialist managers","men",14000,17300,16100,15400,16700,16800,17300,15900,16600,16000,16600
"SE11 Stockholm","0 all sectors","123 Other specialist managers","women",6500,7600,7600,7600,8200,8500,9100,9200,9500,9400,9600
"SE11 Stockholm","0 all sectors","124 Foreman","men",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","124 Foreman","women",..,..,..,..,..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","131 Managers of small enterprises","men",10800,8600,8600,9600,9700,8100,8900,8700,9500,9400,11500
"SE11 Stockholm","0 all sectors","131 Managers of small enterprises","women",4100,4800,5200,5200,5300,5300,5600,5200,5600,5800,6600
"SE11 Stockholm","0 all sectors","211 Physicists, chemists and related professionals","men",870,1300,1200,1200,1200,1400,1200,1200,1300,1000,880
"SE11 Stockholm","0 all sectors","211 Physicists, chemists and related professionals","women",690,890,860,820,1100,980,910,790,960,800,530
"SE11 Stockholm","0 all sectors","212 Mathematicians and statisticians","men",500,490,460,440,480,480,500,530,560,690,680
"SE11 Stockholm","0 all sectors","212 Mathematicians and statisticians","women",..,350,390,410,410,420,400,390,330,430,420
"SE11 Stockholm","0 all sectors","213 Computing professionals","men",23700,25000,27400,28100,30100,31100,29500,32500,30800,33900,35800
"SE11 Stockholm","0 all sectors","213 Computing professionals","women",8300,7400,7900,7500,8500,9200,9400,10000,10200,10500,11600
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","men",14500,14800,14400,15100,16000,16800,17100,17200,18300,17900,18300
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","women",4200,4100,3500,4400,4700,5700,5700,6200,7600,6600,6800
"SE11 Stockholm","0 all sectors","221 Life science professionals","men",..,440,390,330,450,..,490,..,430,360,450
"SE11 Stockholm","0 all sectors","221 Life science professionals","women",..,590,640,540,740,890,900,920,..,..,..
"SE11 Stockholm","0 all sectors","222 Health professionals (except nursing)","men",4800,4900,6000,4800,4600,5300,4500,4700,5000,5100,4800
"SE11 Stockholm","0 all sectors","222 Health professionals (except nursing)","women",4900,5600,6000,5400,5500,6300,5900,6800,6200,6100,6300
"SE11 Stockholm","0 all sectors","223 Nursing and midwifery professionals","men",..,..,..,370,..,..,..,..,590,..,..
"SE11 Stockholm","0 all sectors","223 Nursing and midwifery professionals","women",6000,6600,6100,6000,5800,5700,4900,6300,6000,6200,6400
"SE11 Stockholm","0 all sectors","231 College, university and higher education teaching professionals","men",4700,4300,4200,3500,3900,4100,4100,4400,4500,4500,4700
"SE11 Stockholm","0 all sectors","231 College, university and higher education teaching professionals","women",3400,3200,3300,2900,3100,3100,3200,3300,3500,3400,3500
"SE11 Stockholm","0 all sectors","232 Secondary education teaching professionals","men",4600,4700,4500,4400,4400,4400,4500,4300,4900,4200,4200
"SE11 Stockholm","0 all sectors","232 Secondary education teaching professionals","women",5800,6000,5700,5800,5700,6000,5900,5700,6300,5700,5500
"SE11 Stockholm","0 all sectors","233 Primary education teaching professionals","men",3600,3500,3400,3600,3500,3300,3500,3400,3300,3500,3300
"SE11 Stockholm","0 all sectors","233 Primary education teaching professionals","women",11200,11200,11500,11600,12000,11800,12200,11800,11700,12200,12100
"SE11 Stockholm","0 all sectors","234 Special education teaching professionals","men",510,480,370,400,..,..,180,210,280,..,270
"SE11 Stockholm","0 all sectors","234 Special education teaching professionals","women",2400,2500,2200,2300,2500,1200,1200,1000,1200,1300,1200
"SE11 Stockholm","0 all sectors","235 Other teaching professionals","men",920,830,860,820,870,1700,1700,1400,1200,1100,1100
