"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","0 all sectors","011 Commissioned armed forces officers","men",140,250,..,..,..
"SE11 Stockholm","0 all sectors","011 Commissioned armed forces officers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","021 Non-commissioned armed forces officers","men",310,110,..,..,..
"SE11 Stockholm","0 all sectors","021 Non-commissioned armed forces officers","women",..,..,..,..,..
"SE11 Stockholm","0 all sectors","031 Armed forces occupations, other ranks","men",980,790,..,..,..
"SE11 Stockholm","0 all sectors","031 Armed forces occupations, other ranks","women",130,110,..,..,..
"SE11 Stockholm","0 all sectors","111 Legislators and senior officials","men",450,320,450,..,340
"SE11 Stockholm","0 all sectors","111 Legislators and senior officials","women",410,430,570,..,..
"SE11 Stockholm","0 all sectors","112 Managing directors and chief executives","men",6100,5800,7500,6000,7500
"SE11 Stockholm","0 all sectors","112 Managing directors and chief executives","women",..,1600,..,1800,1400
"SE11 Stockholm","0 all sectors","121 Finance managers","men",2600,2800,2700,3700,3300
"SE11 Stockholm","0 all sectors","121 Finance managers","women",2900,2700,3100,3000,3200
"SE11 Stockholm","0 all sectors","122 Human resource managers","men",840,930,..,..,880
"SE11 Stockholm","0 all sectors","122 Human resource managers","women",1800,2200,2200,1900,2000
"SE11 Stockholm","0 all sectors","123 Administration and planning managers","men",1600,1600,1500,1600,1600
"SE11 Stockholm","0 all sectors","123 Administration and planning managers","women",1300,1400,1300,1500,1300
"SE11 Stockholm","0 all sectors","124 Information, communication and public relations managers","men",470,620,560,..,910
"SE11 Stockholm","0 all sectors","124 Information, communication and public relations managers","women",910,1000,910,960,1200
"SE11 Stockholm","0 all sectors","125 Sales and marketing managers","men",8000,8000,8400,10200,9300
"SE11 Stockholm","0 all sectors","125 Sales and marketing managers","women",3300,3900,4200,4400,3900
"SE11 Stockholm","0 all sectors","129 Administration and service managers not elsewhere classified","men",3700,3800,3300,3800,3800
"SE11 Stockholm","0 all sectors","129 Administration and service managers not elsewhere classified","women",3200,3100,3600,3800,4100
"SE11 Stockholm","0 all sectors","131 Information and communications technology service managers","men",4000,4500,2900,4700,4200
"SE11 Stockholm","0 all sectors","131 Information and communications technology service managers","women",1200,1300,1100,1200,1200
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","men",1900,1800,2000,1600,1800
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","women",450,440,..,..,620
"SE11 Stockholm","0 all sectors","133 Research and development managers","men",1500,1700,1800,1600,1500
"SE11 Stockholm","0 all sectors","133 Research and development managers","women",400,510,570,590,560
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","men",..,2100,1700,2100,1600
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","women",680,750,700,770,850
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","men",..,..,..,..,..
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","women",..,..,..,..,..
